word1-translated	word2-translated	SimLex999
غائب ہو	سکڑیں	5.8
فراہم کرو	لے لو	3.88
سانس لینے	گلا گھونٹنا	1.37
تسلیم کرتے ہیں	مطلع	5.3
بن	لگتا ہے	2.63
دکھاؤ	لگتا ہے	4.68
پورا	بن	4.0
خیال رکھنا	سوچنا	8.82
تعین کریں	پیش گوئی	5.8
براہ کرم	تفریح	5.0
رہیں	برقرار رکھو	5.75
دکھاؤ	بیان کیا	7.03
بھول جاؤ	برقرار رکھو	0.63
چاہتے ہیں	منتخب کریں	4.78
کھو	حاصل کرو	0.77
کوشش کریں	سوچنا	2.62
بن	ظاہر	4.77
چھوڑ دو	نظر انداز	4.42
قبول کرو	تجویز کرو	2.75
چھوڑ دو	گھومنا	3.57
رکھو	دے دو	1.05
دے دو	اجازت دیں	5.15
لانے	بھیجیں	2.97
جذب	سیکھنا	5.48
حاصل	مل	6.38
چھوڑ دو	ظاہر	0.97
بنانا	تباہ	0.63
شروع کرو	جاؤ	7.42
حاصل کرو	خریدنے	5.08
جمع	بچاؤ	6.67
تبدیل کریں	بحال کریں	5.73
شامل ہونا	شامل کریں	8.1
شامل ہونا	شادی کرو	5.35
قبول کرو	فراہم کرو	1.58
منسلک کریں	شامل ہونا	7.75
ڈالیں	پھانسی	3.0
جاؤ	فروخت	0.97
بات چیت	دعا کرو	3.55
دے دو	چوری	0.5
شامل کریں	تعمیر کرو	4.92
لانے	بحال کریں	2.62
سمجھو	مطمئن	2.55
بیان کیا	فیصلہ کرنا	1.18
منظم	بن	1.77
دے دو	پتہ	0.88
کہہ دو	تصدیق کریں	4.9
تعاون کریں	شامل ہونا	5.18
بندوبست کریں	ضرورت ہے	0.98
قرض لے	چاہتے ہیں	1.77
تحقیقات	پیچھا کرنا	7.15
نظر انداز	تلاش کریں	0.4
لانے	شکایت	0.98
درج کریں	الوداع	0.68
بیان کیا	مطلع	0.78
یاد رکھیں	فروخت	0.4
جذب	مالک	5.0
شامل ہونا	حاصل	2.85
بھیجیں	حاضری	1.67
جمع	حاضری	4.8
جذب	واپس لے لو	2.97
حاضری	آو	6.08
