word1	word1-translated	word2	word2-translated	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
plate	پلیٹ	bowl	کٹورا	N	5.23	4.77	4.87	4	0.5	1	1.46
meat	گوشت	bacon	بیکن	N	5.8	4.9	4.9	4	0.5	1	1.5
air	ہوا	helium	ہیلیم	N	3.63	4.11	3.96	3	0.49	1	1.59
worker	کارکن	employer	آجر	N	5.37	4.59	3.81	3	0.49	1	1.4
body	جسم	chest	سینے	N	4.45	4.79	4.93	4	0.49	1	1.45
son	بیٹا	father	باپ	N	3.82	4.14	4.52	3	0.48	1	1.75
heart	دل	surgery	سرجری	N	1.08	4.52	4.34	3	0.48	1	1.07
woman	عورت	secretary	سیکرٹری	N	1.98	4.46	4.54	3	0.48	1	1.6
man	آدمی	father	باپ	N	4.83	4.79	4.52	3	0.48	1	1.62
beach	ساحل سمندر	island	جزیرہ	N	5.6	4.79	4.96	4	0.48	1	0.39
story	کہانی	topic	موضوع	N	5	3.3	2.59	2	0.47	1	1.7
game	کھیل	fun	مزہ	N	3.42	4.5	1.97	2	0.47	1	2.07
weekend	ہفتے کے آخر	week	ہفتے	N	4	3.83	3.48	2	0.47	1	1.57
couple	جوڑے	pair	جوڑی	N	8.33	3.93	3.88	3	0.47	1	1.5
woman	عورت	wife	بیوی	N	5.72	4.46	4.13	3	0.47	1	1.35
sheep	بھیڑ	cattle	مویشیوں	N	4.77	4.9	4.64	4	0.47	1	0.47
purse	پرس	bag	بیگ	N	8.33	4.9	4.9	4	0.47	1	1.39
ceiling	چھت	cathedral	گرجا گھر	N	2.42	4.85	4.86	4	0.46	1	1.57
bean	بین	coffee	کافی	N	5.15	5	4.81	4	0.46	1	1.52
wood	لکڑی	paper	کاغذ	N	2.88	4.85	4.93	4	0.44	0	1.55
top	اوپر	side	طرف	N	1.9	3.93	3.68	3	0.43	0	1.29
crime	جرم	fraud	دھوکہ	N	5.65	3.03	1.68	1	0.42	0	1.18
pain	درد	harm	نقصان	N	5.38	3.5	2.62	2	0.42	0	0.95
lover	عاشق	companion	ساتھی	N	5.97	3.68	3.75	3	0.42	0	0.8
evening	شام	dusk	دوپہر	N	7.78	3.26	4.24	3	0.42	0	1.32
father	باپ	daughter	بیٹی	N	2.62	4.52	4.79	3	0.42	0	1.69
wine	شراب	liquor	شراب	N	7.85	4.79	4.73	4	0.42	0	0.78
cow	گائے	goat	بکری	N	2.93	4.96	5	4	0.42	0	0.59
belief	یقین	opinion	رائے	N	7.7	1.19	1.93	1	0.41	0	1.24
reality	حقیقت	illusion	برم	N	1.42	1.72	2.48	1	0.41	0	1.36
pact	معاہدہ	agreement	معاہدہ	N	9.02	2.52	2.22	1	0.41	0	1.2
wealth	دولت	poverty	غربت	N	1.27	2.63	2.54	1	0.41	0	1.47
accident	حادثہ	emergency	ایمرجنسی	N	4.93	3.26	2.41	2	0.41	0	0.49
battle	جنگ	conquest	فتح	N	7.22	4	2.54	2	0.41	0	0.89
friend	دوست	teacher	استاد	N	2.62	3.07	4.52	3	0.41	0	1.29
illness	بیماری	infection	انفیکشن	N	6.9	3.54	4.1	3	0.41	0	1.28
game	کھیل	trick	چال	N	2.32	4.5	3.36	3	0.41	0	1.02
brother	بھائی	son	بیٹا	N	3.48	4.43	4.14	3	0.41	0	1.61
aunt	چاچی	nephew	بھتیجے	N	3.1	4.17	4.48	3	0.41	0	1.31
worker	کارکن	mechanic	میکینک	N	4.92	4.59	4.38	3	0.41	0	1.2
doctor	ڈاکٹر	orthodontist	آرتھوڈونٹسٹ	N	5.58	4.69	4.43	3	0.41	0	1.25
oak	اوک	maple	میپل	N	6.03	4.82	4.46	3	0.41	0	0.39
bee	مکھی	queen	ملکہ	N	3.27	4.88	4.45	3	0.41	0	1.2
car	کار	bicycle	سائیکل	N	3.47	4.89	4.89	4	0.41	0	1.68
goal	مقصد	quest	تلاش	N	5.83	3.06	2.87	2	0.4	0	1.31
august	اگست	month	مہینے	N	5.53	3.04	4.2	2	0.4	0	1.54
army	فوج	squad	ٹیم	N	5.08	4.7	3.65	3	0.4	0	1.61
cloud	بادل	weather	موسم	N	4.87	4.54	3.83	3	0.4	0	0.94
physician	ڈاکٹر	doctor	ڈاکٹر	N	8.88	4.65	4.69	3	0.4	0	1.5
canyon	کینیا	valley	وادی	N	6.75	4.81	4.72	4	0.4	0	1.39
river	دریا	valley	وادی	N	1.67	4.89	4.72	4	0.4	0	1.23
sun	سورج	sky	آسمان	N	2.27	4.83	4.45	3	0.39	0	1.67
target	ہدف	arrow	تیر	N	3.25	4.11	4.97	3	0.38	0	1.74
chocolate	چاکلیٹ	pie	پائی	N	2.27	4.72	4.92	4	0.38	0	1.79
circumstance	حالات	situation	صورت حال	N	7.85	1.77	2.03	1	0.36	0	1.31
opinion	رائے	choice	انتخاب	N	5.43	1.93	1.9	1	0.36	0	1.5
rhythm	تال	melody	مہودی	N	6.12	3.07	3.71	2	0.36	0	1.27
gut	گٹ	nerve	اعصابی	N	4.93	4.15	3.89	3	0.36	0	1.65
day	دن	dawn	ڈان کی	N	5.47	3.92	4.46	3	0.36	0	1.45
cattle	مویشیوں	beef	گوشت	N	7.03	4.64	4.74	3	0.36	0	1.53
doctor	ڈاکٹر	professor	پروفیسر	N	4.65	4.69	4.86	4	0.36	0	1.19
arm	بازو	vein	رگ	N	3.65	4.96	4.63	4	0.36	0	1.62
room	کمرے	bath	غسل	N	3.33	4.79	4.85	4	0.36	0	0.49
corporation	کارپوریشن	business	کاروبار	N	9.02	2.79	3.28	2	0.35	0	1.44
fun	مزہ	football	فٹ بال	N	1.97	1.97	4.73	2	0.35	0	1.43
hill	پہاڑی	cliff	کلف	N	4.28	4.93	4.71	4	0.35	0	1.26
bone	ہڈی	ankle	ٹخن	N	3.82	4.9	4.81	4	0.35	0	0.69
apple	سیب	candy	کینڈی	N	2.08	5	4.83	4	0.35	0	0.75
helper	مددگار	maid	نوکرانی	N	5.58	3.39	4.64	3	0.34	0	0.44
leader	رہنما	manager	مینیجر	N	7.27	3.89	4.14	3	0.34	0	1.43
lemon	لیموں	tea	چائے	N	1.6	5	4.69	4	0.34	0	1.33
bee	مکھی	ant	اینٹی	N	2.78	4.88	4.86	4	0.34	0	1.04
basketball	باسکٹ بال	baseball	بیس بال	N	4.92	4.97	4.86	4	0.34	0	0.93
rice	چاول	bean	بین	N	2.72	4.86	5	4	0.34	0	1.27
bed	بستر	furniture	فرنیچر	N	6.08	5	4.89	4	0.34	0	0.84
emotion	جذبات	passion	جذبہ	N	7.72	2.44	2.3	1	0.33	0	1.3
anarchy	انتشار	chaos	افراتفری	N	7.93	2.12	2.79	1	0.33	0	1.35
crime	جرم	violation	خلاف ورزی	N	7.12	3.03	2.67	2	0.33	0	0.87
machine	مشین	engine	انجن	N	5.58	4.25	4.86	3	0.33	0	1.95
beach	ساحل سمندر	sea	سمندر	N	4.68	4.79	4.79	4	0.33	0	1.08
alley	گلی	bowl	کٹورا	N	1.53	4.82	4.87	4	0.33	0	0.51
jar	جار	bottle	بوتل	N	7.83	5	4.91	4	0.33	0	1.44
strength	طاقت	capability	صلاحیت	N	5.28	2.96	1.93	1	0.32	0	1.33
seed	بیج	mustard	سرواں	N	3.48	4.71	4.93	4	0.32	0	0.59
guitar	گٹار	drum	ڈھول	N	3.78	4.9	4.96	4	0.32	0	1.72
opinion	رائے	idea	خیال	N	5.7	1.93	1.61	1	0.31	0	1.29
north	شمال	west	مغرب	N	3.63	4.14	3.44	3	0.31	0	1.6
diet	غذا	salad	ترکاریاں	N	2.98	3.21	4.97	3	0.31	0	1.6
mother	ماں	wife	بیوی	N	3.02	4.6	4.13	3	0.31	0	1.62
dad	والد صاحب	mother	ماں	N	3.55	4.29	4.6	3	0.31	0	1.44
captain	کپتان	sailor	نااخت	N	5	4.19	4.86	3	0.31	0	1.43
meter	میٹر	yard	یارڈ	N	5.6	4.7	4.82	4	0.31	0	1.32
beer	بیئر	champagne	شیمپین	N	4.45	4.88	4.82	4	0.31	0	1.2
motor	موٹر	boat	کشتی	N	2.57	4.84	4.93	4	0.31	0	1.45
card	کارڈ	bridge	پل	N	1.97	4.9	4.97	4	0.31	0	1.69
science	سائنس	psychology	نفسیات	N	4.92	2.79	2.31	1	0.3	0	1.91
sinner	گنہگار	saint	سنت	N	1.6	3.07	3.45	2	0.3	0	1.39
destruction	تباہی	construction	تعمیراتی	N	0.98	3.21	3.72	2	0.3	0	1.69
crowd	بھیڑ	bunch	گروپ	N	7.42	4.52	3.5	3	0.3	0	1.37
beach	ساحل سمندر	reef	ریف	N	3.77	4.79	4.7	4	0.3	0	1.85
man	آدمی	child	بچہ	N	4.13	4.79	4.78	4	0.3	0	1.34
bread	روٹی	cheese	پنیر	N	1.95	4.92	4.7	4	0.3	0	1.52
champion	چیمپئن	winner	فاتح	N	8.73	3.82	3.21	2	0.29	0	1.15
celebration	جشن	ceremony	تقریب	N	7.72	3.47	3.57	2	0.29	0	0.61
menu	مینو	order	آرڈر	N	3.62	4.67	2.79	3	0.29	0	1.42
king	بادشاہ	princess	شہزادی	N	3.27	4.1	4.72	3	0.29	0	1.7
wealth	دولت	prestige	وقار	N	6.07	2.63	1.61	1	0.28	0	1.55
endurance	برداشت	strength	طاقت	N	6.58	2	2.96	1	0.28	0	0.59
danger	خطرہ	threat	خطرہ	N	8.78	2.68	2.52	2	0.28	0	1.56
god	خدا	priest	پادری	N	4.5	2.07	4.77	2	0.28	0	1.2
men	مردوں	fraternity	برادری	N	3.13	4.75	2.46	2	0.28	0	1.11
buddy	دوست	companion	ساتھی	N	8.65	3.48	3.75	2	0.28	0	1.64
teacher	استاد	helper	مددگار	N	4.28	4.52	3.39	3	0.28	0	1.65
body	جسم	stomach	پیٹ	N	3.93	4.79	4.89	4	0.28	0	1.15
tongue	زبان	throat	حلق	N	3.1	4.93	4.97	4	0.28	0	1.31
house	گھر	carpet	قالین	N	1.38	5	4.96	4	0.28	0	1.44
intelligence	انٹیلی جنس	skill	مہارت	N	5.35	2.24	2.17	1	0.27	0	1.29
journey	سفر	conquest	فتح	N	4.72	2.57	2.54	1	0.27	0	1.12
god	خدا	prey	شکار	N	1.23	2.07	3.61	2	0.27	0	1.73
brother	بھائی	soul	روح	N	0.97	4.43	1.86	2	0.27	0	1.18
adversary	مخالف	opponent	مخالف	N	9.05	2.93	3.52	2	0.27	0	1.4
death	موت	catastrophe	تباہی	N	4.13	3.73	2.96	2	0.27	0	1.46
monster	راکشس	demon	راکشس	N	6.95	3.72	3.32	2	0.27	0	1.5
day	دن	morning	صبح	N	4.87	3.92	3.44	2	0.27	0	1.95
man	آدمی	victor	فاتح	N	1.9	4.79	2.88	3	0.27	0	1.67
friend	دوست	guy	لڑکے	N	3.88	3.07	4.68	3	0.27	0	1.49
song	نغمہ	story	کہانی	N	3.97	4.46	3.3	3	0.27	0	1.27
ray	کرن	sunshine	دھوپ	N	6.83	3.57	4.21	3	0.27	0	1.55
guy	لڑکے	stud	جڑنا	N	5.83	4.68	4	3	0.27	0	1.7
chicken	چکن	rice	چاول	N	1.43	4.8	4.86	4	0.27	0	1.47
box	ڈبہ	elevator	لفٹ	N	1.32	4.9	4.79	4	0.27	0	1.28
butter	مکھن	potato	آلو	N	1.22	4.9	4.85	4	0.27	0	1.19
apartment	اپارٹمنٹ	furniture	فرنیچر	N	1.28	4.9	4.89	4	0.27	0	1.72
lake	جھیل	swamp	دلدل	N	4.92	4.88	4.96	4	0.27	0	1.6
salad	ترکاریاں	vinegar	سرکہ	N	1.13	4.97	4.89	4	0.27	0	1.65
flower	پھول	bulb	بلب	N	4.48	5	4.93	4	0.27	0	1.27
cloud	بادل	mist	دوبد	N	6.67	4.54	4.51	3	0.26	0	1.43
driver	ڈرائیور	pilot	پائلٹ	N	6.28	4.71	4.67	3	0.26	0	1.52
sugar	شکر	honey	شہد	N	5.13	4.87	4.88	4	0.26	0	1.07
body	جسم	shoulder	کندھے	N	2.88	4.79	4.93	4	0.25	0	1.47
idea	خیال	image	تصویر	N	3.55	1.61	3.85	2	0.24	0	1.47
father	باپ	brother	بھائی	N	4.2	4.52	4.43	3	0.24	0	1.28
moon	چاند	planet	سیارے	N	5.87	4.9	4.58	4	0.24	0	1.57
ball	گیند	costume	کپڑے	N	2.32	5	4.57	4	0.24	0	1.02
rail	ریل	fence	باڑ	N	5.22	4.9	4.82	4	0.24	0	1.17
room	کمرے	bed	بستر	N	2.35	4.79	5	4	0.24	0	1.31
flower	پھول	bush	بش	N	4.25	5	4.9	4	0.24	0	1.66
bone	ہڈی	knee	گھٹنے	N	4.17	4.9	5	4	0.24	0	1.64
arm	بازو	knee	گھٹنے	N	2.75	4.96	5	4	0.24	0	0.59
bottom	نیچے	side	طرف	N	2.63	4.25	3.68	3	0.22	0	1.51
vessel	برتن	vein	رگ	N	5.15	4.66	4.63	3	0.22	0	1.55
cat	کیٹ	rabbit	خرگوش	N	2.37	4.86	4.93	4	0.22	0	1.67
meat	گوشت	sandwich	سینڈوچ	N	2.35	4.9	4.9	4	0.22	0	1.69
belief	یقین	concept	تصور	N	5.08	1.19	1.41	1	0.21	0	1.44
intelligence	انٹیلی جنس	insight	بصیرت	N	5.9	2.24	1.72	1	0.21	0	1.59
attention	توجہ	interest	دلچسپی	N	7.22	2.3	1.8	1	0.21	0	1.21
attitude	رویہ	confidence	اعتماد	N	4.35	1.97	2.17	1	0.21	0	1.22
right	دائیں	justice	انصاف	N	7.05	3.47	1.45	1	0.21	0	1.52
argument	دلیل	agreement	معاہدہ	N	1.45	2.85	2.22	1	0.21	0	1.36
depth	گہرائی	magnitude	شدت	N	6.12	3.11	2.43	2	0.21	0	1.64
medium	درمیانی	news	خبریں	N	3.65	3	3.41	2	0.21	0	1.3
winner	فاتح	candidate	امیدوار	N	2.78	3.21	3.81	2	0.21	0	1.29
birthday	سالگرہ	date	تاریخ	N	5.08	3.2	3.9	2	0.21	0	1.2
fee	فیس	payment	ادائیگی	N	7.15	3.89	3.91	3	0.21	0	1.56
bible	بائبل	hymn	حمد	N	5.15	4.61	4.04	3	0.21	0	1.08
exit	باہر نکلیں	doorway	دروازے	N	5.5	3.93	4.75	3	0.21	0	1.73
man	آدمی	sentry	بھیجا	N	3.25	4.79	4.04	3	0.21	0	1.22
aisle	گلیارے	hall	ہال	N	6.35	4.35	4.67	3	0.21	0	0.96
whiskey	شراب	gin	گن	N	6.28	4.74	4.46	3	0.21	0	1.14
blood	خون	marrow	میرو	N	3.4	4.86	4.48	3	0.21	0	1.17
oil	تیل	mink	منک	N	1.23	4.93	4.58	4	0.21	0	1.53
floor	فرش	deck	ڈیک	N	5.55	4.8	4.77	4	0.21	0	1.06
roof	چھت	floor	فرش	N	2.62	4.79	4.8	4	0.21	0	1.66
door	دروازہ	floor	فرش	N	1.67	4.81	4.8	4	0.21	0	0.39
shoulder	کندھے	head	سر	N	3.42	4.93	4.75	4	0.21	0	1.14
wagon	وگن	carriage	گاڑی	N	7.7	4.89	4.86	4	0.21	0	1.84
car	کار	carriage	گاڑی	N	5.13	4.89	4.86	4	0.21	0	1.2
elbow	کہنی	ankle	ٹخن	N	3.13	5	4.81	4	0.21	0	1.48
wealth	دولت	fame	شہرت	N	4.02	2.63	1.96	1	0.2	0	1.1
sorrow	غم	shame	شرمندگی	N	4.77	2.36	2.24	1	0.2	0	1.52
administration	انتظامیہ	management	انتظام	N	7.25	2.78	2.72	2	0.2	0	1.67
communication	مواصلات	conversation	بات چیت	N	8.02	2.9	3.28	2	0.2	0	0.88
pollution	آلودگی	atmosphere	ماحول	N	4.25	3.75	3.04	2	0.2	0	0.98
anatomy	اناتومی	biology	حیاتیات	N	5.33	3.59	3.48	2	0.2	0	1.37
college	کالج	profession	پیشہ	N	3.12	4.62	2.83	3	0.2	0	1.41
book	کتاب	topic	موضوع	N	2.07	4.9	2.59	3	0.2	0	1.22
formula	فارمولہ	equation	مساوات	N	7.95	4.11	3.65	3	0.2	0	0.56
book	کتاب	information	معلومات	N	5	4.9	2.87	3	0.2	0	1.13
boy	لڑکا	partner	شراکت دار	N	1.9	4.76	3.53	3	0.2	0	1.54
sky	آسمان	universe	کائنات	N	4.68	4.45	3.85	3	0.2	0	1.39
population	آبادی	people	لوگ	N	7.68	3.64	4.82	3	0.2	0	0.8
college	کالج	class	کلاس	N	4.13	4.62	3.85	3	0.2	0	1.16
chief	چیف	mayor	میئر	N	4.85	4.26	4.37	3	0.2	0	1.25
rabbi	ربیبی	minister	وزیر	N	7.62	4.64	4.22	3	0.2	0	1.35
meter	میٹر	inch	انچ	N	5.08	4.7	4.37	3	0.2	0	1.19
polyester	پالئیےسٹر	cotton	کپاس	N	5.63	4.12	4.97	3	0.2	0	1.53
lawyer	وکیل	banker	بینکر	N	1.88	4.7	4.43	3	0.2	0	1.18
violin	وایلن	instrument	آلے	N	6.58	4.96	4.27	3	0.2	0	1.39
camp	کیمپ	cabin	کیبن	N	4.2	4.35	4.92	3	0.2	0	1.2
pot	برتن	appliance	آلات	N	2.53	4.81	4.57	3	0.2	0	1.26
linen	کپڑے	fabric	کپڑے	N	7.47	4.8	4.63	3	0.2	0	1.26
whiskey	شراب	champagne	شیمپین	N	5.33	4.74	4.82	4	0.2	0	1.29
girl	لڑکی	child	بچہ	N	5.38	4.85	4.78	4	0.2	0	1.21
cottage	کاٹیج	cabin	کیبن	N	7.72	4.85	4.92	4	0.2	0	1.47
bird	پرندہ	hen	ین	N	7.03	5	4.9	4	0.2	0	1.43
racket	ریکیٹ	noise	شور	N	8.1	4.26	3.52	3	0.19	0	1.49
sunset	غروب آفتاب	evening	شام	N	5.98	4.54	3.26	3	0.19	0	1.35
drizzle	بہاؤ	rain	بارش	N	9.17	4.21	4.97	3	0.19	0	0.39
adult	بالغ	baby	بچه	N	2.22	4.4	5	3	0.19	0	0.39
charcoal	چارکول	coal	کوئلہ	N	7.63	4.85	4.66	4	0.19	0	1.43
body	جسم	spine	ریڑھائی	N	4.78	4.79	4.88	4	0.19	0	1.22
head	سر	nail	کیل	N	2.47	4.75	4.93	4	0.19	0	1.4
log	لاگ ان	timber	لکڑی	N	8.05	4.96	4.9	4	0.19	0	1.12
spoon	چمچ	cup	کپ	N	2.02	4.96	5	4	0.19	0	0.9
body	جسم	nerve	اعصابی	N	3.13	4.79	3.89	3	0.18	0	1.12
man	آدمی	husband	شوہر	N	5.32	4.79	4.11	3	0.18	0	1.71
bone	ہڈی	neck	گردن	N	2.53	4.9	5	4	0.18	0	1.05
frustration	مایوسی	anger	غصہ	N	6.5	2.06	2.41	1	0.17	0	0.39
river	دریا	sea	سمندر	N	5.72	4.89	4.79	4	0.17	0	0.39
task	کام	job	ملازمت	N	8.87	2.84	3.19	2	0.16	0	1.75
club	کلب	society	سماج	N	5.23	3.78	2.54	2	0.16	0	1.59
reflection	عکس	image	تصویر	N	7.27	3.29	3.85	2	0.16	0	1.06
prince	شہزادہ	king	بادشاہ	N	5.92	4.44	4.1	3	0.16	0	1.05
snow	برف	weather	موسم	N	5.48	4.85	3.83	3	0.16	0	1.36
people	لوگ	party	پارٹی	N	2.2	4.82	3.89	3	0.16	0	1.42
boy	لڑکا	brother	بھائی	N	6.67	4.76	4.43	3	0.16	0	1.58
root	جڑ	grass	گھاس	N	3.55	4.34	4.93	3	0.16	0	1.35
brow	برو	eye	آنکھ	N	3.82	4.39	4.9	3	0.16	0	1.41
money	پیسہ	pearl	موتی	N	2.1	4.54	4.87	3	0.16	0	1.94
money	پیسہ	diamond	ہیرے	N	3.42	4.54	4.89	3	0.16	0	1.37
vehicle	گاڑی	bus	بس	N	6.47	4.64	4.9	4	0.16	0	1.38
cab	ٹیکسی	bus	بس	N	5.6	4.88	4.9	4	0.16	0	1.64
house	گھر	barn	بنو	N	4.33	5	4.79	4	0.16	0	1.6
finger	انگلی	palm	کھجور	N	3.33	5	4.83	4	0.16	0	1.5
car	کار	bridge	پل	N	0.95	4.89	4.97	4	0.16	0	1.2
effort	کوشش	difficulty	مشکل	N	4.45	2.33	1.9	1	0.15	0	1.22
fact	حقیقت	insight	بصیرت	N	4.77	2.72	1.72	1	0.15	0	1.11
job	ملازمت	management	انتظام	N	3.97	3.19	2.72	2	0.15	0	1.33
cancer	کینسر	sickness	بیماری	N	7.93	3.86	3.45	2	0.15	0	1.57
word	لفظ	newspaper	اخبار	N	2.47	3.56	4.82	3	0.15	0	0.94
composer	موسیقار	writer	مصنف	N	6.58	4.37	4.32	3	0.15	0	0.8
actor	اداکار	singer	گلوکار	N	4.52	4.57	4.62	3	0.15	0	1.26
shelter	پناہ گاہ	hut	ہٹ	N	6.47	4.64	4.65	3	0.15	0	1.59
bathroom	باتھ روم	kitchen	باورچی خانه	N	3.1	4.52	4.97	4	0.15	0	1.22
cabin	کیبن	hut	ہٹ	N	6.53	4.92	4.65	4	0.15	0	1.37
door	دروازہ	kitchen	باورچی خانه	N	1.67	4.81	4.97	4	0.15	0	0.44
value	قدر	belief	یقین	N	7.07	1.62	1.19	1	0.14	0	0.95
wisdom	حکمت	intelligence	انٹیلی جنس	N	7.47	1.53	2.24	1	0.14	0	1.33
ignorance	جہالت	intelligence	انٹیلی جنس	N	1.5	1.6	2.24	1	0.14	0	1.3
happiness	خوشی	luck	قسمت	N	2.38	2.6	1.33	1	0.14	0	1.2
idea	خیال	scheme	سکیم	N	6.75	1.61	2.41	1	0.14	0	1.47
mood	موڈ	emotion	جذبات	N	8.12	1.75	2.44	1	0.14	0	1.64
happiness	خوشی	peace	امن	N	6.03	2.6	1.62	1	0.14	0	1.35
despair	نا امید	misery	مصیبت	N	7.22	2.21	2.04	1	0.14	0	1.06
logic	منطق	arithmetic	ریاضی	N	3.97	1.72	2.74	1	0.14	0	1.81
denial	انکار	confession	اقرار	N	1.03	2.46	2.4	1	0.14	0	1.64
argument	دلیل	criticism	تنقید	N	5.08	2.85	2.07	1	0.14	0	1.07
aggression	جارحیت	hostility	دشمنیت	N	8.48	2.68	2.24	1	0.14	0	0.44
hysteria	ہیسٹریا	confusion	الجھن	N	6.33	2.86	2.24	1	0.14	0	0.44
chemistry	کیمسٹری	theory	نظریہ	N	3.17	3.64	1.47	1	0.14	0	1.4
trial	آزمائش	verdict	فیصلے	N	3.33	3.07	2.19	2	0.14	0	1.18
comfort	آرام	safety	حفاظت	N	5.8	2.89	2.37	2	0.14	0	1.21
confidence	اعتماد	self	خود	N	3.12	2.17	3.1	2	0.14	0	1.24
vision	اولین مقصد	perception	خیال	N	6.88	3.39	2	2	0.14	0	1.31
era	دور	decade	دہائی	N	5.4	2.24	3.19	2	0.14	0	1.02
biography	جیونی	fiction	فکشن	N	1.38	3.39	2.14	2	0.14	0	1.24
discussion	بحث	argument	دلیل	N	5.48	3.07	2.85	2	0.14	0	1.43
code	کوڈ	symbol	علامت	N	6.03	3	3.11	2	0.14	0	1.67
danger	خطرہ	disease	بیماری	N	3	2.68	3.45	2	0.14	0	0.44
accident	حادثہ	catastrophe	تباہی	N	5.9	3.26	2.96	2	0.14	0	1.63
journey	سفر	trip	سفر	N	8.88	2.57	3.71	2	0.14	0	1.14
activity	سرگرمی	movement	تحریک	N	7.15	2.72	3.63	2	0.14	0	1.1
gossip	گپ شپ	news	خبریں	N	5.22	3	3.41	2	0.14	0	1.21
father	باپ	god	خدا	N	3.57	4.52	2.07	2	0.14	0	1.31
action	عمل	course	کورس	N	5.45	2.86	3.82	2	0.14	0	1.75
fever	بخار	illness	بیماری	N	7.65	3.27	3.54	2	0.14	0	1.54
aviation	ایوی ایشن	flight	پرواز	N	8.18	3.39	3.9	2	0.14	0	1.83
game	کھیل	action	عمل	N	4.85	4.5	2.86	2	0.14	0	1.12
molecule	انو	air	ہوا	N	3.05	3.27	4.11	2	0.14	0	1.84
home	گھر	state	حالت	N	2.58	4.11	3.52	3	0.14	0	1.6
word	لفظ	literature	ادب	N	4.77	3.56	4.1	3	0.14	0	0.59
adult	بالغ	guardian	سرپرست	N	6.9	4.4	3.28	3	0.14	0	1.19
newspaper	اخبار	information	معلومات	N	5.65	4.82	2.87	3	0.14	0	1.31
communication	مواصلات	television	ٹیلی ویژن	N	5.6	2.9	4.83	3	0.14	0	1.27
cousin	کزن	uncle	چاچا	N	4.63	3.7	4.24	3	0.14	0	1.84
author	مصنف	reader	ریڈر	N	1.6	4.26	3.89	3	0.14	0	1.47
guy	لڑکے	partner	شراکت دار	N	3.57	4.68	3.53	3	0.14	0	1.24
area	رقبہ	corner	کونے	N	2.07	3.72	4.61	3	0.14	0	1.41
ballad	بلڈاد	song	نغمہ	N	7.53	3.88	4.46	3	0.14	0	0.84
wall	دیوار	decoration	سجاوٹ	N	2.62	4.86	3.53	3	0.14	0	0.89
word	لفظ	page	صفحہ	N	2.92	3.56	4.9	3	0.14	0	0.99
nurse	نرس	scientist	سائنسدان	N	2.08	4.39	4.24	3	0.14	0	1.06
politician	سیاست دان	president	صدر	N	7.38	4.33	4.4	3	0.14	0	1.05
president	صدر	mayor	میئر	N	5.68	4.4	4.37	3	0.14	0	1.4
book	کتاب	essay	مضمون نویسی	N	4.72	4.9	3.97	3	0.14	0	1.3
man	آدمی	warrior	جنگجو	N	4.72	4.79	4.17	3	0.14	0	1.03
article	مضمون	journal	جرنل	N	6.18	4.33	4.63	3	0.14	0	1.45
breakfast	ناشتہ	supper	کھانا	N	4.4	4.43	4.63	3	0.14	0	1.47
crowd	بھیڑ	parade	پریڈ	N	3.93	4.52	4.54	3	0.14	0	1.05
aisle	گلیارے	hallway	دالان	N	6.75	4.35	4.74	3	0.14	0	1.36
teacher	استاد	rabbi	ربیبی	N	4.37	4.52	4.64	3	0.14	0	1.12
hip	ہپ	lip	ہپ	N	1.43	4.21	4.96	3	0.14	0	1.45
book	کتاب	article	مضمون	N	5.43	4.9	4.33	3	0.14	0	0.95
room	کمرے	cell	سیل	N	4.58	4.79	4.44	3	0.14	0	1.28
box	ڈبہ	booth	بوٹ	N	3.8	4.9	4.42	3	0.14	0	1.38
daughter	بیٹی	kid	بچہ	N	4.17	4.79	4.56	3	0.14	0	1.24
limb	انگلی	leg	ٹانگ	N	6.9	4.64	4.83	4	0.14	0	1.23
liver	جگر	lung	پھیپھڑوں	N	2.7	4.68	4.82	4	0.14	0	1.38
classroom	کلاس روم	hallway	دالان	N	2	4.76	4.74	4	0.14	0	1.23
mountain	پہاڑ	ledge	قیادت	N	3.73	4.96	4.72	4	0.14	0	1.21
car	کار	elevator	لفٹ	N	1.03	4.89	4.79	4	0.14	0	1.19
bed	بستر	couch	سوفی	N	3.42	5	4.71	4	0.14	0	1.85
clothes	کپڑے	button	بٹن	N	2.3	4.76	4.96	4	0.14	0	1.44
clothes	کپڑے	coat	کوٹ	N	5.35	4.76	4.97	4	0.14	0	1.37
kidney	گردہ	organ	عضو	N	6.17	4.96	4.77	4	0.14	0	0.95
apple	سیب	sauce	چٹنی	N	1.43	5	4.75	4	0.14	0	2.11
chicken	چکن	steak	سٹیک	N	3.73	4.8	4.96	4	0.14	0	1.39
car	کار	hose	نلی	N	0.87	4.89	4.87	4	0.14	0	0.78
tobacco	تمباکو	cigarette	سگریٹ	N	7.5	4.88	4.88	4	0.14	0	1.49
student	طالب علم	professor	پروفیسر	N	1.95	4.92	4.86	4	0.14	0	1.13
baby	بچه	daughter	بیٹی	N	5	5	4.79	4	0.14	0	1.29
pipe	پائپ	cigar	سگریٹ	N	6.03	4.88	4.93	4	0.14	0	1.01
milk	دودھ	juice	رس	N	4.05	4.92	4.89	4	0.14	0	1.46
box	ڈبہ	cigar	سگریٹ	N	1.25	4.9	4.93	4	0.14	0	1.89
apartment	اپارٹمنٹ	hotel	ہوٹل	N	3.33	4.9	4.93	4	0.14	0	1.18
